size,difficulty,seed,solver,solved,timed_out,nodes,conflicts,backtracks,propagations,time_ms,best_cost
18,easy,3,sa,0,1,75929,67853,6,0,5000.01,6
18,easy,4,bt,0,1,10956,5463,5494,0,5002.8,
18,easy,4,fc,1,0,131,41,41,304,9.42,
18,easy,4,full,1,0,8,1,1,258,4.21,
18,easy,4,hc,0,1,70860,1055,1055,0,5001.28,28
18,easy,4,sa,0,1,73775,66372,6,0,5000.01,5
18,medium,0,bt,1,0,1741,847,894,0,734.97,
18,medium,0,fc,1,0,703,328,328,1335,28.85,
18,medium,0,full,1,0,27,1,1,253,6.77,
18,medium,0,hc,0,1,69660,1379,1379,0,5001.08,13
18,medium,0,sa,0,1,85612,76041,7,0,5000.01,3
18,medium,1,bt,0,1,18486,9237,9249,0,5000.21,
18,medium,1,fc,1,0,156,55,55,420,9.07,
18,medium,1,full,1,0,19,2,2,282,4.21,
18,medium,1,hc,0,1,71910,1365,1365,0,5000.92,17
18,medium,1,sa,0,1,86927,77847,7,0,5000.03,5
18,medium,2,bt,0,1,14482,7232,7251,0,5000.54,
18,medium,2,fc,1,0,61055,30505,30505,97062,1773.17,
18,medium,2,full,1,0,35,8,8,472,8.36,
18,medium,2,hc,0,1,68760,1371,1371,0,5001.39,19
18,medium,2,sa,0,1,82569,72264,7,0,5000.0,3
18,medium,3,bt,0,1,11672,5818,5854,0,5000.31,
18,medium,3,fc,1,0,2725,1343,1343,5313,150.54,
18,medium,3,full,1,0,20,0,0,246,5.98,
18,medium,3,hc,0,1,63720,1546,1546,0,5002.26,17
18,medium,3,sa,0,1,83589,74297,7,0,5000.03,2
18,medium,4,bt,0,1,12821,6399,6423,0,5000.78,
18,medium,4,fc,1,0,24343,12151,12151,39107,900.4,
18,medium,4,full,1,0,26,3,3,318,6.99,
18,medium,4,hc,0,1,70020,2012,2012,0,5000.77,12
18,medium,4,sa,0,1,85484,75901,7,0,5000.03,4
18,hard,0,bt,1,0,7784,3873,3911,0,3266.91,
18,hard,0,fc,1,0,93,28,28,383,6.71,
18,hard,0,full,1,0,31,1,1,291,9.15,
18,hard,0,hc,0,1,75120,1705,1705,0,5000.05,9
18,hard,0,sa,0,1,82753,73884,7,0,5000.01,2
18,hard,1,bt,1,0,1684,824,860,0,407.15,
18,hard,1,fc,1,0,53,7,7,262,7.39,
18,hard,1,full,1,0,32,0,0,252,6.63,
18,hard,1,hc,0,1,76350,2274,2274,0,5001.02,7
18,hard,1,sa,1,0,40634,36197,3,0,2082.27,0
18,hard,2,bt,1,0,566,266,300,0,161.56,
18,hard,2,fc,1,0,74,18,18,296,11.95,
18,hard,2,full,1,0,39,0,0,245,11.86,
18,hard,2,hc,0,1,77400,2070,2070,0,5000.11,3
18,hard,2,sa,1,0,17763,15696,1,0,970.36,0
18,hard,3,bt,0,1,13144,6558,6586,0,5000.03,
18,hard,3,fc,0,1,79840,39912,39928,225457,5000.05,
18,hard,3,full,1,0,32,2,2,266,10.91,
18,hard,3,hc,0,1,71760,2270,2270,0,5001.3,7
18,hard,3,sa,1,0,65038,58480,5,0,3661.79,0
18,hard,4,bt,0,1,10416,5200,5217,0,5000.04,
18,hard,4,fc,1,0,49,8,8,292,5.16,
18,hard,4,full,1,0,25,0,0,259,12.29,
18,hard,4,hc,0,1,75690,2314,2314,0,5000.22,2
18,hard,4,sa,1,0,5198,4214,0,0,293.07,0
25,easy,0,bt,0,1,6015,3002,3014,0,5001.25,
25,easy,0,fc,1,0,29955,14931,14931,51645,2148.55,
25,easy,0,full,1,0,14,3,3,477,6.6,
25,easy,0,hc,0,1,32850,268,268,0,5004.84,78
25,easy,0,sa,0,1,36619,31968,3,0,5000.31,17
25,easy,1,bt,0,1,4612,2283,2329,0,5000.58,
25,easy,1,fc,1,0,235,71,71,574,35.83,
25,easy,1,full,1,0,21,1,1,459,10.59,
25,easy,1,hc,0,1,31470,399,399,0,5001.96,77
25,easy,1,sa,0,1,36187,31219,3,0,5000.01,22
25,easy,2,bt,0,1,9304,4642,4662,0,5000.25,
25,easy,2,fc,1,0,1297,598,598,2389,111.76,
25,easy,2,full,1,0,7,0,0,462,4.63,
25,easy,2,hc,0,1,31590,280,280,0,5006.52,83
25,easy,2,sa,0,1,37267,32151,3,0,5000.08,22
25,easy,3,bt,0,1,12370,6182,6188,0,5000.53,
25,easy,3,fc,1,0,11673,5791,5791,29484,759.96,
25,easy,3,full,1,0,31,9,9,717,15.7,
25,easy,3,hc,0,1,32190,318,318,0,5000.01,69
25,easy,3,sa,0,1,37537,32418,3,0,5000.08,20
25,easy,4,bt,0,1,3238,1604,1634,0,5002.44,
25,easy,4,fc,1,0,3836,1871,1871,7837,275.42,
25,easy,4,full,1,0,22,5,5,537,7.73,
25,easy,4,hc,0,1,33810,333,333,0,5003.92,73
25,easy,4,sa,0,1,37272,32742,3,0,5000.02,15
25,medium,0,bt,0,1,11069,5529,5540,0,5000.03,
25,medium,0,fc,0,1,47758,23853,23905,96354,5000.24,
25,medium,0,full,1,0,41,2,2,579,20.57,
25,medium,0,hc,0,1,32340,568,568,0,5000.46,44
25,medium,0,sa,0,1,40159,35295,3,0,5000.09,12
25,medium,1,bt,0,1,16274,8131,8143,0,5000.02,
25,medium,1,fc,0,1,54938,27450,27489,127471,5000.09,
25,medium,1,full,1,0,47,1,1,507,19.03,
25,medium,1,hc,0,1,31050,690,690,0,5004.57,39
25,medium,1,sa,0,1,43065,38031,3,0,5000.09,9
25,medium,2,bt,0,1,12759,6376,6384,0,5002.29,
25,medium,2,fc,1,0,220,71,71,860,18.11,
25,medium,2,full,1,0,41,1,1,478,25.12,
25,medium,2,hc,0,1,32550,695,695,0,5006.56,41
25,medium,2,sa,0,1,44122,39284,3,0,5000.08,8
25,medium,3,bt,0,1,9814,4893,4922,0,5000.03,
25,medium,3,fc,0,1,61617,30785,30832,160820,5000.11,
25,medium,3,full,1,0,33,2,2,513,17.6,
25,medium,3,hc,0,1,34260,549,549,0,5000.32,41
25,medium,3,sa,0,1,42265,37443,3,0,5000.01,12
25,medium,4,bt,0,1,10701,5339,5363,0,5000.24,
25,medium,4,fc,0,1,44630,22292,22339,61036,5000.21,
25,medium,4,full,1,0,272,121,121,2428,56.44,
25,medium,4,hc,0,1,32970,656,656,0,5000.83,39
25,medium,4,sa,0,1,42720,37800,3,0,5000.07,8
25,hard,0,bt,0,1,12566,6270,6297,0,5000.04,
25,hard,0,fc,1,0,119,25,25,542,18.87,
25,hard,0,full,1,0,59,0,0,490,35.99,
25,hard,0,hc,0,1,34770,926,926,0,5003.67,19
25,hard,0,sa,0,1,48780,43056,4,0,5000.07,6
25,hard,1,bt,0,1,10279,5116,5164,0,5000.23,
25,hard,1,fc,0,1,41706,20843,20863,144917,5000.37,
25,hard,1,full,1,0,61,0,0,488,43.78,
25,hard,1,hc,0,1,31860,921,921,0,5003.21,12
25,hard,1,sa,0,1,44380,39538,4,0,5000.14,4
25,hard,2,bt,0,1,5390,2676,2714,0,5006.1,
25,hard,2,fc,1,0,121,28,28,575,15.67,
25,hard,2,full,1,0,61,0,0,488,46.13,
25,hard,2,hc,0,1,30570,880,880,0,5000.7,20
25,hard,2,sa,0,1,44578,39561,4,0,5000.05,6
25,hard,3,bt,0,1,10835,5399,5436,0,5000.48,
25,hard,3,fc,0,1,41436,20707,20730,141034,5000.24,
25,hard,3,full,1,0,54,1,1,519,36.67,
25,hard,3,hc,0,1,33000,929,929,0,5003.49,13
25,hard,3,sa,0,1,50262,44917,4,0,5000.01,5
25,hard,4,bt,0,1,17534,8759,8775,0,5000.3,
25,hard,4,fc,1,0,145,40,40,634,23.43,
25,hard,4,full,1,0,56,0,0,493,46.04,
25,hard,4,hc,0,1,35250,1092,1092,0,5003.37,13
25,hard,4,sa,0,1,51640,45905,4,0,5000.08,6
